Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA60,MA240
13104.2998,13412.70996,13104.2998,13412.5498,13412.5498,161430000,13412.5498,13412.5498,13412.5498,13412.5498
13413.00977,13430.59961,13358.2998,13391.36035,13391.36035,129630000,13391.36035,13391.36035,13391.36035,13391.36035
13391.0498,13447.11035,13376.23047,13435.20996,13435.20996,107590000,13435.20996,13435.20996,13435.20996,13435.20996
13436.12988,13436.12988,13343.32031,13384.29004,13384.29004,113120000,13384.29004,13384.29004,13384.29004,13384.29004
13377.41992,13377.41992,13293.12988,13328.84961,13328.84961,129570000,13390.45195,13328.84961,13328.84961,13328.84961
13329.91992,13416.5498,13329.08008,13390.50977,13390.50977,123070000,13386.04395,13390.50977,13390.50977,13390.50977
13391.82031,13478.2002,13382.29004,13471.21973,13471.21973,133520000,13402.01582,13471.21973,13471.21973,13471.21973
13471.4502,13496.67969,13439.96973,13488.42969,13488.42969,119200000,13412.65977,13488.42969,13488.42969,13488.42969
13488.42969,13520.17969,13459.83984,13507.32031,13507.32031,118460000,13437.26582,13507.32031,13507.32031,13507.32031
13507.32031,13546.37012,13445.7998,13534.88965,13534.88965,102280000,13478.47383,13534.88965,13534.88965,13534.88965
13534.88965,13534.88965,13468.95996,13511.23047,13511.23047,118540000,13502.61797,13511.23047,13511.23047,13511.23047
13511.23047,13633.88965,13510.24023,13596.01953,13596.01953,183900000,13527.57793,13596.01953,13596.01953,13596.01953
13596.01953,13649.92969,13571.86035,13649.7002,13649.7002,260900000,13559.83203,13649.7002,13649.7002,13649.7002
13649.7002,13712.20996,13622.95996,13712.20996,13712.20996,144300000,13600.80996,13712.20996,13712.20996,13712.20996
13712.20996,13794.29004,13710.12988,13779.33008,13779.33008,104490000,13649.69805,13779.33008,13779.33008,13779.33008
13779.33008,13879.66016,13779.33008,13825.33008,13825.33008,124780000,13712.51797,13825.33008,13825.33008,13825.33008
13825.33008,13895.98047,13825.33008,13895.98047,13895.98047,130300000,13772.51016,13895.98047,13895.98047,13895.98047
