date,stock_id,Trading_Volume,Trading_money,open,max,min,close,MA5,MA20,MA60,MA240,target,1day,2day,3day,4day,5day
2013/1/2,TAIEX,3416421980,78986319626,7738.05,7793.48,7715.26,7779.22,7779.22,7779.22,7779.22,7779.22,7836.84,0,0,0,0,0
2013/1/3,TAIEX,4480963886,1.06E+11,7826.34,7855.16,7815.29,7836.84,7836.84,7836.84,7836.84,7836.84,7805.99,7779.22,0,0,0,0
2013/1/4,TAIEX,4172906828,1.00E+11,7818.27,7818.27,7773.06,7805.99,7805.99,7805.99,7805.99,7805.99,7755.09,7836.84,7779.22,0,0,0
2013/1/7,TAIEX,3868825706,88507753431,7797.05,7797.05,7725.47,7755.09,7755.09,7755.09,7755.09,7755.09,7721.66,7805.99,7836.84,7779.22,0,0
2013/1/8,TAIEX,3738832187,88317024457,7737.07,7751.8,7692.98,7721.66,7779.76,7721.66,7721.66,7721.66,7738.64,7755.09,7805.99,7836.84,7779.22,0
2013/1/9,TAIEX,3891674590,84775978766,7726.4,7763.97,7703.23,7738.64,7771.644,7738.64,7738.64,7738.64,7811.64,7721.66,7755.09,7805.99,7836.84,7779.22
2013/1/10,TAIEX,5021568159,1.14E+11,7780.98,7825.06,7760.09,7811.64,7766.604,7811.64,7811.64,7811.64,7819.15,7738.64,7721.66,7755.09,7805.99,7836.84
2013/1/11,TAIEX,3732799197,77507085939,7843.57,7845.36,7801.69,7819.15,7769.236,7819.15,7819.15,7819.15,7823.97,7811.64,7738.64,7721.66,7755.09,7805.99
2013/1/14,TAIEX,3409241125,75132129950,7795.68,7823.97,7731.32,7823.97,7783.012,7823.97,7823.97,7823.97,7765.02,7819.15,7811.64,7738.64,7721.66,7755.09
2013/1/15,TAIEX,4055375585,92223084551,7823.51,7823.51,7744.39,7765.02,7791.684,7765.02,7765.02,7765.02,7700.43,7823.97,7819.15,7811.64,7738.64,7721.66
2013/1/16,TAIEX,3659803910,84298620553,7766.09,7769.18,7700.43,7700.43,7784.042,7700.43,7700.43,7700.43,7616.64,7765.02,7823.97,7819.15,7811.64,7738.64
2013/1/17,TAIEX,4774599972,1.00E+11,7748.57,7774.97,7603.27,7616.64,7745.042,7616.64,7616.64,7616.64,7732.87,7700.43,7765.02,7823.97,7819.15,7811.64
2013/1/18,TAIEX,3431132485,72018246059,7697.28,7732.87,7676.11,7732.87,7727.786,7732.87,7732.87,7732.87,7724.92,7616.64,7700.43,7765.02,7823.97,7819.15
2013/1/21,TAIEX,2622100359,53688521475,7725.36,7739.37,7674.18,7724.92,7707.976,7724.92,7724.92,7724.92,7759.1,7732.87,7616.64,7700.43,7765.02,7823.97
2013/1/22,TAIEX,2764855726,59892954225,7746.79,7759.47,7699.25,7759.1,7706.792,7759.1,7759.1,7759.1,7744.18,7724.92,7732.87,7616.64,7700.43,7765.02
2013/1/23,TAIEX,2817736446,64195636730,7773.2,7773.2,7730.1,7744.18,7715.542,7744.18,7744.18,7744.18,7695.99,7759.1,7724.92,7732.87,7616.64,7700.43
2013/1/24,TAIEX,3202135347,74299775594,7717.04,7724.68,7653.62,7695.99,7731.412,7695.99,7695.99,7695.99,7672.58,7744.18,7759.1,7724.92,7732.87,7616.64
